"filename", "language", "JSON", "TypeScript", "JavaScript", "JSON with Comments", "Markdown", "SVG", "TypeScript React", "CSS", "HTML", "comment", "blank", "total"
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/Breath/assets/images/logo.svg", "SVG", 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 1, 49
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/Breath/components/BreathHeader.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 3, 17
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/Breath/components/HeaderResponsive.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 33, 0, 0, 2, 9, 44
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/Breath/components/Responsive1BG.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 33, 0, 0, 2, 9, 44
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/Breath/components/Section2.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 42, 0, 0, 4, 10, 56
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/Breath/components/Section3.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 35, 0, 0, 4, 12, 51
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/Breath/components/Section4.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 77, 0, 0, 0, 3, 80
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/Breath/components/Section5.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 53, 0, 0, 3, 9, 65
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/Breath/components/core/BreathText.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 3, 45
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/Breath/components/section4/Square.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 65, 0, 0, 0, 5, 70
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/Breath/constants/BreathColours.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/Breath/index.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 1, 9
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/Breath/types/index.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/Chevell/Chevell.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 4, 39
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/Chevell/assets/images/style1.svg", "SVG", 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 1, 25
